Agent,AHT,Absolute Resolve Rate (ARR),Available Schedule Adherence,Contact Audit Score,Missed Contacts,Positive Response Rate(PRR),Recommendations - Adoption Rate,Recommendations - Volume,iVA Adoption Rate
mppragat,0.44,17.59210526,0.671052632,0.910582011,0,0.3,1,1,0.888888889
sanbatnq,1.44,18.59210526,1.671052632,1.910582011,1,1.3,2,2,1.888888889
biswara,2.44,19.59210526,2.271052632,4.910582011,2,2.3,3,3,2.888888889
kousjana,3.44,21.59210526,3.671052632,3.910582011,3,3.3,4,4,3.888888889
pvenkbun,4.44,21.59210526,4.271052632,4.910582011,7,4.3,5,5,4.888888889
hasampat,2.44,22.59210526,5.671052632,5.910582011,5,5.3,6,6,5.888888889
rajesauw,21.44,23.59210526,6.671052632,6.910582011,6,6.3,7,7,6.888888889
danvilm,7.44,24.59210526,7.671052632,7.910582011,7,7.3,8,8,7.888888889
ahoishee,8.44,26.59210526,8.671052632,8.910582011,8,8.3,9,9,8.888888889
satasneh,9.44,26.59210526,9.671052632,9.910582011,4,9.3,10,10,9.888888889
psulemoh,10.44,27.59210526,10.67105263,10.91058201,10,10.3,11,11,10.88888889
angapras,22.44,28.59210526,11.67105263,11.91058201,2,3.3,12,12,11.88888889
rsrilaks,12.44,29.59210526,12.67105263,12.91058201,12,12.3,13,13,12.88888889
rajesauw,13.44,30.59210526,13.67105263,13.91058201,13,13.3,14,14,13.88888889
